corpus_id,canonical_entity,alias,entity_type,source_file,unit_no,locator_type,match_start,match_end,context,unit_sha1
GCI-HOLD-0003,黄帝,黄帝,FOUNDER/HOUSE/OFFICE,01史记.txt,4,line,0,2,黄帝者，少典之子，姓公孙，名曰轩辕。生而神灵，弱而能言，幼而徇齐，长而敦敏，成而聪明。轩辕之时，神农氏世衰。诸侯相侵伐，暴虐百姓，而神农氏弗能征。於是轩辕乃习用干戈,a7898061207f1dd64627535d4e6924002d60c788
GCI-HOLD-0003,黄帝,轩辕,HOLDER/NAME,01史记.txt,4,line,15,17,黄帝者，少典之子，姓公孙，名曰轩辕。生而神灵，弱而能言，幼而徇齐，长而敦敏，成而聪明。轩辕之时，神农氏世衰。诸侯相侵伐，暴虐百姓，而神农氏弗能征。於是轩辕乃习用干戈，以征不享，诸侯咸来宾从。而蚩,a7898061207f1dd64627535d4e6924002d60c788
GCI-HOLD-0003,黄帝,轩辕,HOLDER/NAME,01史记.txt,4,line,43,45,黄帝者，少典之子，姓公孙，名曰轩辕。生而神灵，弱而能言，幼而徇齐，长而敦敏，成而聪明。轩辕之时，神农氏世衰。诸侯相侵伐，暴虐百姓，而神农氏弗能征。於是轩辕乃习用干戈，以征不享，诸侯咸来宾从。而蚩尤最为暴，莫能伐。炎帝欲侵陵诸侯，诸侯咸归轩辕。轩辕乃修,a7898061207f1dd64627535d4e6924002d60c788
GCI-HOLD-0003,神农,神农,HOLDER/HOUSE/TITLE,01史记.txt,4,line,48,50,黄帝者，少典之子，姓公孙，名曰轩辕。生而神灵，弱而能言，幼而徇齐，长而敦敏，成而聪明。轩辕之时，神农氏世衰。诸侯相侵伐，暴虐百姓，而神农氏弗能征。於是轩辕乃习用干戈，以征不享，诸侯咸来宾从。而蚩尤最为暴，莫能伐。炎帝欲侵陵诸侯，诸侯咸归轩辕。轩辕乃修德振兵，治,a7898061207f1dd64627535d4e6924002d60c788
GCI-HOLD-0003,神农,神农,HOLDER/HOUSE/TITLE,01史记.txt,4,line,66,68,黄帝者，少典之子，姓公孙，名曰轩辕。生而神灵，弱而能言，幼而徇齐，长而敦敏，成而聪明。轩辕之时，神农氏世衰。诸侯相侵伐，暴虐百姓，而神农氏弗能征。於是轩辕乃习用干戈，以征不享，诸侯咸来宾从。而蚩尤最为暴，莫能伐。炎帝欲侵陵诸侯，诸侯咸归轩辕。轩辕乃修德振兵，治五气，蓺五种，抚万民，度四方，教熊罴,a7898061207f1dd64627535d4e6924002d60c788
GCI-HOLD-0003,黄帝,轩辕,HOLDER/NAME,01史记.txt,4,line,75,77,黄帝者，少典之子，姓公孙，名曰轩辕。生而神灵，弱而能言，幼而徇齐，长而敦敏，成而聪明。轩辕之时，神农氏世衰。诸侯相侵伐，暴虐百姓，而神农氏弗能征。於是轩辕乃习用干戈，以征不享，诸侯咸来宾从。而蚩尤最为暴，莫能伐。炎帝欲侵陵诸侯，诸侯咸归轩辕。轩辕乃修德振兵，治五气，蓺五种，抚万民，度四方，教熊罴貔貅貙虎，以与炎帝,a7898061207f1dd64627535d4e6924002d60c788
GCI-HOLD-0003,蚩尤,蚩尤,POLITICAL_LABEL/HOLDER?,01史记.txt,4,line,96,98,辕。生而神灵，弱而能言，幼而徇齐，长而敦敏，成而聪明。轩辕之时，神农氏世衰。诸侯相侵伐，暴虐百姓，而神农氏弗能征。於是轩辕乃习用干戈，以征不享，诸侯咸来宾从。而蚩尤最为暴，莫能伐。炎帝欲侵陵诸侯，诸侯咸归轩辕。轩辕乃修德振兵，治五气，蓺五种，抚万民，度四方，教熊罴貔貅貙虎，以与炎帝战於阪泉之野。三战，然后得其志。蚩尤作乱，,a7898061207f1dd64627535d4e6924002d60c788
GCI-HOLD-0003,炎帝,炎帝,FOUNDER/HOUSE/TITLE,01史记.txt,4,line,106,108,言，幼而徇齐，长而敦敏，成而聪明。轩辕之时，神农氏世衰。诸侯相侵伐，暴虐百姓，而神农氏弗能征。於是轩辕乃习用干戈，以征不享，诸侯咸来宾从。而蚩尤最为暴，莫能伐。炎帝欲侵陵诸侯，诸侯咸归轩辕。轩辕乃修德振兵，治五气，蓺五种，抚万民，度四方，教熊罴貔貅貙虎，以与炎帝战於阪泉之野。三战，然后得其志。蚩尤作乱，不用帝命。於是黄帝乃,a7898061207f1dd64627535d4e6924002d60c788
GCI-HOLD-0003,黄帝,轩辕,HOLDER/NAME,01史记.txt,4,line,118,120,成而聪明。轩辕之时，神农氏世衰。诸侯相侵伐，暴虐百姓，而神农氏弗能征。於是轩辕乃习用干戈，以征不享，诸侯咸来宾从。而蚩尤最为暴，莫能伐。炎帝欲侵陵诸侯，诸侯咸归轩辕。轩辕乃修德振兵，治五气，蓺五种，抚万民，度四方，教熊罴貔貅貙虎，以与炎帝战於阪泉之野。三战，然后得其志。蚩尤作乱，不用帝命。於是黄帝乃徵师诸侯，与蚩尤战於涿鹿,a7898061207f1dd64627535d4e6924002d60c788
GCI-HOLD-0003,黄帝,轩辕,HOLDER/NAME,01史记.txt,4,line,121,123,明。轩辕之时，神农氏世衰。诸侯相侵伐，暴虐百姓，而神农氏弗能征。於是轩辕乃习用干戈，以征不享，诸侯咸来宾从。而蚩尤最为暴，莫能伐。炎帝欲侵陵诸侯，诸侯咸归轩辕。轩辕乃修德振兵，治五气，蓺五种，抚万民，度四方，教熊罴貔貅貙虎，以与炎帝战於阪泉之野。三战，然后得其志。蚩尤作乱，不用帝命。於是黄帝乃徵师诸侯，与蚩尤战於涿鹿之野，,a7898061207f1dd64627535d4e6924002d60c788
